PaymentID,InvoiceID,AmountPaidRaw,PaymentDateRaw,StatusRaw
PMT-3031,INV-2051,574.79,"Jul 5, 2026",Paid
PMT-3032,INV-2052,$725.02,2026-06-13,Paid
PMT-3033,INV-2053,1583.48,"Jun 12, 2026",Paid
PMT-3034,INV-2054,"$1,253.76","Jun 28, 2026",Paid
PMT-3035,INV-2055,527.23,2026-06-17,Paid
PMT-3036,INV-2056,146.81,2026-06-03,Partial
PMT-3037,INV-2057,"1,503.44",2026-07-10,Paid
PMT-3038,INV-2058,1566.45,"Jun 23, 2026",Paid
PMT-3039,INV-2059,"1,334.94",06/12/2026,Paid
PMT-3040,INV-2061,763.32,2026-06-26,Paid
PMT-3041,INV-2062,$846.69,2026-06-22,Paid
PMT-3042,INV-2063,239.09,2026-07-10,Partial
PMT-3043,INV-2067,1161.56,"Jun 29, 2026",Paid
PMT-3044,INV-2068,876.02,2026-06-03,Paid
PMT-3045,INV-2069,"$1,363.04",2026-06-08,Paid
PMT-3046,INV-2070,"$1,031.90","Jul 4, 2026",Paid
PMT-3047,INV-2072,"$1,381.59","Jun 13, 2026",Paid
PMT-3048,INV-2073,778.70,07/05/2026,Paid
PMT-3049,INV-2074,"1,227.44",2026-06-14,Paid
PMT-3050,INV-2076,136.80,06/28/2026,Paid
PMT-3051,INV-2077,"1,391.85",2026-06-30,Paid
PMT-3052,INV-2078,$187.97,"Jun 12, 2026",Paid
PMT-3053,INV-2079,$464.84,2026-06-17,Paid
PMT-3054,INV-2080,590.73,2026-06-21,Paid
PMT-3055,INV-2081,646.50,"Jul 10, 2026",Paid
PMT-3056,INV-2082,$437.78,"Jun 5, 2026",Paid
PMT-3057,INV-2083,"1,470.76",06/20/2026,Paid
PMT-3058,INV-2084,$347.44,"Jun 25, 2026",Partial
PMT-3059,INV-2085,899.14,"Jun 15, 2026",Paid
PMT-3060,INV-2086,"$1,158.97","Jul 5, 2026",Paid
PMT-3061,INV-2087,169.45,"Jun 24, 2026",Paid
PMT-3062,INV-2089,820.88,2026-07-07,Paid
PMT-3063,INV-2090,366.35,"Jun 20, 2026",Partial
PMT-3064,INV-2091,$764.38,"Jun 14, 2026",Paid
PMT-3065,INV-2093,$534.91,07/10/2026,Paid
PMT-3066,INV-2094,1358.73,"Jul 7, 2026",Paid
PMT-3067,INV-2095,799.32,06/19/2026,Paid
PMT-3068,INV-2097,"$1,403.90",2026-07-08,Paid
PMT-3069,INV-2098,152.43,2026-06-16,Paid
PMT-3070,INV-2099,$578.53,2026-06-21,Partial
PMT-3071,INV-2100,231.07,"Jul 8, 2026",Paid
PMT-3072,INV-2101,1040.27,06/28/2026,Paid
PMT-3073,INV-2105,$732.70,2026-06-28,Paid
PMT-3030,INV-2091,1008.05,06/23/2026,Paid
